Year,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2014,4,LG,128,62,64,2,0.492,16.5,6승0무4패,3패,33-1-30,29-1-34
2014,5,SK,128,61,65,2,0.484,17.5,6승1무3패,1패,31-2-31,30-0-34
2014,6,두산,128,59,68,1,0.465,20,6승0무4패,1승,29-0-35,30-1-33
2014,7,롯데,128,58,69,1,0.457,21,5승0무5패,1승,32-1-31,26-0-38
2014,8,KIA,128,54,74,0,0.422,25.5,3승0무7패,2승,26-0-38,28-0-36
2014,9,한화,128,49,77,2,0.389,29.5,2승0무8패,5패,28-0-36,21-2-41
2015,1,두산,144,79,65,0,0.549,9,6승0무4패,2승,41-0-31,38-0-34
2015,2,삼성,144,88,56,0,0.611,0,6승0무4패,3승,46-0-26,42-0-30
2015,3,NC,144,84,57,3,0.596,2.5,6승1무3패,1패,40-2-30,44-1-27
2015,4,넥센,144,78,65,1,0.545,9.5,4승0무6패,1패,40-0-32,38-1-33
2015,5,SK,144,69,73,2,0.486,18,6승0무4패,1승,37-1-34,32-1-39
2015,6,한화,144,68,76,0,0.472,20,6승0무4패,1패,38-0-34,30-0-42
2015,7,KIA,144,67,77,0,0.465,21,4승0무6패,4패,36-0-36,31-0-41
2015,8,롯데,144,66,77,1,0.462,21.5,2승0무8패,1승,37-0-35,29-1-42
2015,9,LG,144,64,78,2,0.451,23,6승0무4패,2승,33-2-37,31-0-41
2015,10,KT,144,52,91,1,0.364,35.5,2승1무7패,1패,30-0-42,22-1-49
2016,1,두산,144,93,50,1,0.650,0,6승0무4패,2승,46-1-25,47-0-25
2016,2,NC,144,83,58,3,0.589,9,6승0무4패,2패,39-2-31,44-1-27
2016,3,넥센,144,77,66,1,0.538,16,3승0무7패,3패,44-0-28,33-1-38
2016,4,LG,144,71,71,2,0.500,21.5,4승1무5패,1패,40-2-30,31-0-41
2016,5,KIA,144,70,73,1,0.490,23,5승0무5패,2패,38-0-34,32-1-39
2016,6,SK,144,69,75,0,0.479,24.5,4승0무6패,1승,35-0-37,34-0-38
2016,7,한화,144,66,75,3,0.468,26,6승0무4패,3승,36-2-34,30-1-41
2016,8,롯데,144,66,78,0,0.458,27.5,5승0무5패,2승,40-0-32,26-0-46
2016,9,삼성,144,65,78,1,0.455,28,5승0무5패,1패,34-0-38,31-1-40
2016,10,KT,144,53,89,2,0.373,39.5,4승0무6패,2승,28-0-44,25-2-45
2017,1,KIA,144,87,56,1,0.608,0,6승0무4패,2승,45-0-27,42-1-29
2017,2,두산,144,84,57,3,0.596,2,8승0무2패,1패,39-3-30,45-0-27
2017,3,롯데,144,80,62,2,0.563,6.5,8승0무2패,5승,45-2-25,35-0-37
2017,4,NC,144,79,62,3,0.560,7,5승1무4패,4승,44-1-27,35-2-35
2017,5,SK,144,75,68,1,0.524,12,7승0무3패,2승,42-0-30,33-1-38
2017,6,LG,144,69,72,3,0.489,17,4승0무6패,2패,38-0-34,31-3-38
2017,7,넥센,144,69,73,2,0.486,17.5,3승0무7패,4패,39-2-31,30-0-42
2017,8,한화,144,61,81,2,0.430,25.5,3승1무6패,5패,30-1-41,31-1-40
2017,9,삼성,144,55,84,5,0.396,30,4승0무6패,2승,28-2-42,27-3-42
2017,10,KT,144,50,94,0,0.347,37.5,3승0무7패,2패,27-0-45,23-0-49
2018,1,SK,144,78,65,1,0.545,14.5,3승0무7패,2패,42-0-30,36-1-35
2018,2,두산,144,93,51,0,0.646,0,6승0무4패,1승,51-0-21,42-0-30
2018,3,한화,144,77,67,0,0.535,16,5승0무5패,1승,43-0-29,34-0-38
2018,4,넥센,144,75,69,0,0.521,18,5승0무5패,1패,37-0-35,38-0-34
2018,5,KIA,144,70,74,0,0.486,23,4승0무6패,1패,43-0-29,27-0-45
2018,6,삼성,144,68,72,4,0.486,23,6승1무3패,2승,33-3-36,35-1-36
2018,7,롯데,144,68,74,2,0.479,24,6승0무4패,1패,34-0-38,34-2-36
2018,8,LG,144,68,75,1,0.476,24.5,4승0무6패,2승,39-1-32,29-0-43
2018,9,KT,144,59,82,3,0.418,32.5,5승0무5패,1승,31-2-39,28-1-43
2018,10,NC,144,58,85,1,0.406,34.5,2승0무8패,3패,33-0-39,25-1-46
2019,1,두산,144,88,55,1,0.615,0,8승1무1패,5승,47-0-25,41-1-30
2019,2,키움,144,86,57,1,0.601,2,6승0무4패,2승,45-1-26,41-0-31
2019,3,SK,144,88,55,1,0.615,0,4승0무6패,2승,44-1-27,44-0-28
2019,4,LG,144,79,64,1,0.552,9,4승0무6패,1승,41-1-30,38-0-34
2019,5,NC,144,73,69,2,0.514,14.5,4승1무5패,2패,40-2-30,33-0-39
2019,6,KT,144,71,71,2,0.500,16.5,7승0무3패,2승,41-1-30,30-1-41
2019,7,KIA,144,62,80,2,0.437,25.5,5승0무5패,3승,39-0-33,23-2-47
2019,8,삼성,144,60,83,1,0.420,28,4승0무6패,1패,36-0-36,24-1-47
2019,9,한화,144,58,86,0,0.403,30.5,6승0무4패,3패,31-0-41,27-0-45
2019,10,롯데,144,48,93,3,0.340,39,1승0무9패,8패,29-1-42,19-2-51
2020,1,NC,144,83,55,6,0.601,0,4승2무4패,1패,45-3-24,38-3-31
2020,2,두산,144,79,61,4,0.564,5,6승0무4패,4승,41-2-29,38-2-32
2020,3,KT,144,81,62,1,0.566,4.5,7승0무3패,1패,44-0-28,37-1-34
2020,4,LG,144,79,61,4,0.564,5,5승1무4패,2패,39-3-30,40-1-31
2020,5,키움,144,80,63,1,0.559,5.5,6승0무4패,1패,41-1-30,39-0-33
2020,6,KIA,144,73,71,0,0.507,13,4승0무6패,1승,37-0-35,36-0-36
2020,7,롯데,144,71,72,1,0.497,14.5,3승0무7패,1승,41-0-31,30-1-41
2020,8,삼성,144,64,75,5,0.460,19.5,6승2무2패,1승,33-2-37,31-3-38
2020,9,SK,144,51,92,1,0.357,34.5,5승0무5패,1승,28-0-44,23-1-48
2020,10,한화,144,46,95,3,0.326,38.5,3승1무6패,1승,25-2-45,21-1-50
2021,1,KT,144,76,59,9,0.563,0,3승1무6패,1승,41-7-24,35-2-35
2021,2,두산,144,71,65,8,0.522,5.5,5승2무3패,2승,35-6-31,36-2-34
2021,3,삼성,144,76,59,9,0.563,0,6승1무3패,1승,42-4-26,34-5-33
2021,4,LG,144,72,58,14,0.554,1.5,3승5무2패,1패,40-3-29,32-11-29
2021,5,키움,144,70,67,7,0.511,7,6승1무3패,3승,42-4-26,28-3-41
2021,6,SSG,144,66,64,14,0.508,7.5,4승2무4패,1패,37-8-27,29-6-37
2021,7,NC,144,67,68,9,0.496,9,4승1무5패,1패,36-2-34,31-7-34
2021,8,롯데,144,65,71,8,0.478,11.5,4승2무4패,1승,31-5-36,34-3-35
2021,9,KIA,144,58,76,10,0.433,17.5,5승0무5패,2패,31-4-37,27-6-39
2021,10,한화,144,49,83,12,0.371,25.5,2승2무6패,6패,25-7-40,24-5-43
2022,1,SSG,144,88,52,4,0.629,0,4승0무6패,4패,49-0-23,39-4-29
2022,2,키움,144,80,62,2,0.563,9,5승0무5패,1승,39-1-32,41-1-30
2022,3,LG,144,87,55,2,0.613,2,4승0무6패,1승,38-1-33,49-1-22
2022,4,KT,144,80,62,2,0.563,9,7승0무3패,1패,40-1-31,40-1-31
2022,5,KIA,144,70,73,1,0.490,19.5,7승0무3패,1패,31-0-41,39-1-32
2022,6,NC,144,67,74,3,0.475,21.5,6승0무4패,1패,35-3-34,32-0-40
2022,7,삼성,144,66,76,2,0.465,23,6승0무4패,2승,33-2-37,33-0-39
2022,8,롯데,144,64,76,4,0.457,24,5승0무5패,1승,27-3-42,37-1-34
2022,9,두산,144,60,82,2,0.423,29,4승0무6패,2패,29-1-42,31-1-40
2022,10,한화,144,46,96,2,0.324,43,3승0무7패,1패,28-0-44,18-2-52
2023,1,LG,144,86,56,2,0.606,0,5승0무5패,1승,45-1-25,41-1-31
2023,2,KT,144,79,62,3,0.560,6.5,6승0무4패,3승,41-2-30,38-1-32
2023,3,SSG,144,76,65,3,0.539,9.5,8승0무2패,2승,39-2-32,37-1-33
2023,4,NC,144,75,67,2,0.528,11,5승0무5패,2패,41-1-29,34-1-38
2023,5,두산,144,74,68,2,0.521,12,4승0무6패,3패,37-1-35,37-1-33
2023,6,KIA,144,73,69,2,0.514,13,7승0무3패,2승,38-2-31,35-0-38
2023,7,롯데,144,68,76,0,0.472,19,4승0무6패,1승,38-0-35,30-0-41
2023,8,삼성,144,61,82,1,0.427,25.5,4승0무6패,1패,32-0-39,29-1-43
2023,9,한화,144,58,80,6,0.420,26,3승0무7패,1패,32-1-40,26-5-40
2023,10,키움,144,58,83,3,0.411,27.5,5승0무5패,2패,33-2-36,25-1-47
